Date,Open,High,Low,Close,AdjClose,Volume
2010-01-04,14.0,14.05,13.9,13.99,11.906366,2496013
2010-01-05,13.88,14.025,13.705,13.945,11.86807,2700340
2010-01-06,13.96,14.09,13.925,14.07,11.974452000000001,3993940
2010-01-07,13.91,14.265,13.86,14.21,12.0936,4633114
2010-01-08,14.315,14.48,14.205,14.35,12.212750999999999,2289556
2010-01-11,14.47,14.59,14.36,14.48,12.323386,2884240
2010-01-12,14.47,14.515,13.835,14.1,11.999986,5160997
2010-01-13,14.05,14.175,14.0,14.105,12.004238,2468904
2010-01-14,14.175,14.49,13.82,14.23,12.110622,5990022
2010-01-15,14.26,14.72,14.22,14.43,12.280835,3583970
2010-01-18,14.48,14.71,14.285,14.71,12.519131,2318878
2010-01-19,14.67,14.845,14.41,14.805,12.599982,2073048
2010-01-20,14.76,14.95,14.7,14.815,12.608495,2604593
2010-01-21,14.89,14.9,14.4,14.4,12.255301,2262964
2010-01-22,14.32,14.35,14.005,14.185,12.072326,2789368
2010-01-25,14.04,14.13,13.945,13.955,11.87658,1961429
2010-01-26,13.87,14.16,13.785,14.01,11.923388000000001,1860926
2010-01-27,13.81,14.0,13.675,13.795,11.74041,2691939
2010-01-28,13.93,14.175,13.775,13.775,11.723389,3249197
2010-01-29,13.82,14.28,13.81,14.2,12.085092,2306668
2010-02-01,14.11,14.45,14.05,14.275,12.148918,2068752
2010-02-02,14.245,14.675,14.07,14.61,12.434026,1948105
2010-02-03,14.59,14.79,14.365,14.625,12.446793,2468129
2010-02-04,14.58,14.73,14.245,14.25,12.127642999999999,2732458
2010-02-05,14.16,14.46,14.0,14.1,11.999986,4673569
2010-02-08,14.185,14.2,13.91,14.01,11.923388000000001,3001302
2010-02-09,13.95,14.01,13.735,13.805,11.74892,3168176
2010-02-10,13.85,14.0,13.725,13.795,11.74041,2177198
2010-02-11,13.795,13.875,13.58,13.73,11.685091,2007180
2010-02-12,13.89,14.04,13.66,13.75,11.702112,2290937
2010-02-15,13.825,13.915,13.515,13.55,11.531899000000001,1692329
2010-02-16,13.67,13.82,13.585,13.795,11.74041,1869954
2010-02-17,14.3,14.68,14.3,14.48,12.323386,4296443
2010-02-18,14.54,14.695,14.445,14.66,12.47658,2158668
2010-02-19,14.47,14.88,14.47,14.865,12.651047,2347070
2010-02-22,14.8,14.95,14.77,14.87,12.655302,2762829
2010-02-23,14.995,15.27,14.93,15.045,12.804239,3089515
2010-02-24,15.15,15.28,14.53,14.735,12.540409,4127928
2010-02-25,14.725,14.795,14.515,14.53,12.365941000000001,2412131
2010-02-26,14.71,15.155,14.655,15.155,12.897853999999999,2724588
2010-03-01,15.25,15.385,15.085,15.365,13.076578999999999,1744188
2010-03-02,15.38,15.445,15.22,15.445,13.144663000000001,1447372
2010-03-03,15.375,15.535,15.31,15.485,13.178706,1620058
2010-03-04,15.55,15.835,15.545,15.645,13.314876000000002,2614279
2010-03-05,15.72,15.96,15.7,15.955,13.578704,2202256
2010-03-08,15.95,16.094998999999998,15.58,15.88,13.514873999999999,3641597
2010-03-09,14.95,15.54,14.925,15.435,13.136154000000001,8225292
2010-03-10,15.34,15.42,15.11,15.275,12.999982000000001,3765845
